feature,A_vs_C_p,A_vs_F_p,F_vs_C_p,A_vs_C_stat,A_vs_F_stat,F_vs_C_stat,A_vs_C_significant,A_vs_F_significant,F_vs_C_significant,min_p
gamma_eigenvector_std,0.07269133213741019,0.26982570683166485,0.03651442711627843,1.7947638535870973,-1.1034640230843713,2.0911521501142483,False,False,True,0.03651442711627843
gamma_eigenvector_mean,0.07269133213741019,0.26982570683166485,0.03651442711627843,-1.7947638535870973,1.1034640230843713,-2.0911521501142483,False,False,True,0.03651442711627843
beta_betweenness_mean,0.03766379978158884,0.7559261091876989,0.2729725527125979,-2.0784949039703515,-0.3108349360801046,-1.0962427571083504,True,False,False,0.03766379978158884
gamma_std_clustering,0.11941788677856321,0.3756824274046201,0.03994631130541297,1.5572215788476285,-0.8858795678282981,2.0543036540769926,False,False,True,0.03994631130541297
theta_eigenvector_mean,0.0591413089424326,0.07141293313911115,0.7332175700914463,-1.8871414048746684,-1.8028426292646067,-0.3408485883446131,False,True,False,0.0591413089424326
theta_eigenvector_std,0.0591413089424326,0.07141293313911115,0.7332175700914463,1.8871414048746684,1.8028426292646067,0.3408485883446131,False,True,False,0.0591413089424326
beta_min_edge_weight,0.060938059698610145,0.6634398272612437,0.3153200452678162,1.873944611833587,0.43516891051214646,1.0041215170152116,False,False,False,0.060938059698610145
beta_betweenness_std,0.06562850089207134,0.7677699188521208,0.34740397073375306,-1.8409526292308829,-0.2952931892760994,-0.9396366489500145,False,False,False,0.06562850089207134
theta_std_clustering,0.09118311876359828,0.08174045024140453,0.8178562517196756,1.6891895092584446,1.7406756420485858,0.2303031002328467,False,True,False,0.08174045024140453
theta_std_strength,0.10454547309867601,0.09025570597629394,0.8178562517196756,1.6232055440530366,1.69405040163657,0.2303031002328467,False,False,False,0.09025570597629394
alpha_max_edge_weight,0.13589912162654819,0.7677699188521208,0.4336091777416299,-1.4912376136422205,-0.2952931892760994,-0.7830305407916788,False,False,False,0.13589912162654819
gamma_std_edge_weight,0.18694211269806438,0.938059746374703,0.297889465719961,1.3196793041081598,-0.07770873402002615,1.040970013052467,False,False,False,0.18694211269806438
beta_modularity,0.4925660410589344,0.4463312572095842,0.18772678262125542,0.686233238136243,-0.7615455933962563,1.317333733331883,False,False,False,0.18772678262125542
beta_max_edge_weight,0.20051386322857656,0.8887581843262682,0.18772678262125542,1.280088924984915,0.13987572123604708,1.317333733331883,False,False,False,0.18772678262125542
delta_std_clustering,0.8224884887195354,0.3123929925095791,0.2346900342634296,0.22434548169838717,-1.01021354226034,1.188363997201489,False,False,False,0.2346900342634296
delta_std_strength,0.8224884887195354,0.305006945930164,0.24202521625739204,0.22434548169838717,-1.025755289064345,1.1699397491828611,False,False,False,0.24202521625739204
delta_eigenvector_mean,0.7715642131642305,0.3352523740659502,0.2495202218173339,-0.29032944690379514,0.9635883018483242,-1.1515155011642335,False,False,False,0.2495202218173339
delta_eigenvector_std,0.7715642131642305,0.3352523740659502,0.2495202218173339,0.29032944690379514,-0.9635883018483242,1.1515155011642335,False,False,False,0.2495202218173339
gamma_min_edge_weight,0.2733704149941403,0.9752029535018105,0.2729725527125979,-1.0953338224097726,0.03108349360801046,-1.0962427571083504,False,False,False,0.2729725527125979
delta_mean_strength,0.2733704149941403,0.484315454161674,0.8035716926609457,-1.0953338224097726,-0.6993786061802354,-0.24872734825147444,False,False,False,0.2733704149941403
delta_mean_connectivity,0.2733704149941403,0.484315454161674,0.8035716926609457,-1.0953338224097726,-0.6993786061802354,-0.24872734825147444,False,False,False,0.2733704149941403
delta_total_strength,0.2733704149941403,0.484315454161674,0.8035716926609457,-1.0953338224097726,-0.6993786061802354,-0.24872734825147444,False,False,False,0.2733704149941403
delta_average_clustering,0.28509659986994074,0.6299521848661913,0.7193909930897142,-1.0689402363276095,-0.4817941509241621,-0.35927283636324087,False,False,False,0.28509659986994074
delta_mean_clustering,0.28509659986994074,0.6299521848661913,0.7193909930897142,-1.0689402363276095,-0.4817941509241621,-0.35927283636324087,False,False,False,0.28509659986994074
delta_path_length,0.28509659986994074,0.484315454161674,0.789352442622795,1.0689402363276095,0.6993786061802354,0.26715159627010215,False,False,False,0.28509659986994074
beta_std_strength,0.5264423907155574,0.5972082814957247,0.3065226637971902,0.6334460659719167,-0.5284193913361779,1.0225457650338394,False,False,False,0.3065226637971902
delta_std_edge_weight,0.48428332545800923,0.7916183403888916,0.3242816900322453,0.6994300311773247,-0.26420969566808894,0.9856972689965839,False,False,False,0.3242816900322453
delta_entropy,0.47607670840662164,0.7916183403888916,0.3242816900322453,-0.7126268242184063,0.26420969566808894,-0.9856972689965839,False,False,False,0.3242816900322453
gamma_modularity,0.34202633727507503,0.4556650913933441,0.9266017130519044,0.950169098957875,0.746003846592251,0.09212124009313868,False,False,False,0.34202633727507503
beta_eigenvector_mean,0.40574885023103013,0.5139152923280841,0.8610557809778284,0.8313979615881406,0.6527533657682196,-0.1750303561769635,False,False,False,0.40574885023103013
beta_eigenvector_std,0.40574885023103013,0.5139152923280841,0.8610557809778284,-0.8313979615881406,-0.6527533657682196,0.1750303561769635,False,False,False,0.40574885023103013
theta_betweenness_std,0.41701960017445505,0.4651077715252139,0.9926498924398907,0.8116027720265183,0.7304620997882458,-0.009212124009313868,False,False,False,0.41701960017445505
delta_min_edge_weight,0.42847288044281706,0.9628119149632932,0.4555574529884694,-0.7918075824648959,0.04662524041201569,-0.7461820447544233,False,False,False,0.42847288044281706
theta_betweenness_mean,0.42847288044281706,0.47465825979228615,0.9926498924398907,0.7918075824648959,0.7149203529842406,-0.009212124009313868,False,False,False,0.42847288044281706
gamma_entropy,0.43620902141353146,0.9628119149632932,0.5493142250840948,-0.7786107894238142,-0.04662524041201569,-0.5987880606054015,False,False,False,0.43620902141353146
gamma_betweenness_std,0.7068361598212864,0.5039452325048875,0.4500125110071381,0.37610860167082555,-0.6682951125722248,0.7553941687637372,False,False,False,0.4500125110071381
alpha_modularity,0.45589771878770646,0.8703701453423615,0.6450811622655236,-0.7456188068211103,-0.1631883414420549,-0.4606062004656934,False,False,False,0.45589771878770646
delta_modularity,0.7918293421759366,0.5918270610654519,0.5012749527263289,0.26393586082163195,-0.5361902647381804,0.6724850526799123,False,False,False,0.5012749527263289
gamma_betweenness_mean,0.6160346617884724,0.9072062794512618,0.6650366891909372,0.5014781355611008,-0.11656310103003922,0.4329698284377518,False,False,False,0.6160346617884724
beta_std_clustering,0.9684196977743732,0.7677699188521208,0.638484821303129,0.03959037912324479,-0.2952931892760994,0.46981832447500727,False,False,False,0.638484821303129
gamma_total_strength,0.8637847855795844,0.8277528972330723,0.7471312470612319,0.17155830953406076,-0.21758445525607323,0.3224243403259854,False,False,False,0.7471312470612319
gamma_mean_strength,0.8637847855795844,0.8277528972330723,0.7471312470612319,0.17155830953406076,-0.21758445525607323,0.3224243403259854,False,False,False,0.7471312470612319
delta_betweenness_std,0.8482486491639653,0.9133672886814357,0.789352442622795,0.19135349909568317,-0.10879222762803661,0.26715159627010215,False,False,False,0.789352442622795
delta_betweenness_mean,0.8482486491639653,0.9133672886814357,0.789352442622795,0.19135349909568317,-0.10879222762803661,0.26715159627010215,False,False,False,0.789352442622795
gamma_mean_clustering,0.8845808174688884,0.7916183403888916,0.9779521720528206,-0.14516472345189757,-0.26420969566808894,-0.027636372027941603,False,False,False,0.7916183403888916
gamma_average_clustering,0.8845808174688884,0.7916183403888916,0.9779521720528206,-0.14516472345189757,-0.26420969566808894,-0.027636372027941603,False,False,False,0.7916183403888916
beta_assortativity,0.812236127016216,1.0,0.8322015495213919,0.23754227473946876,0.0,0.21187885221421895,False,False,False,0.812236127016216
gamma_mean_connectivity,0.9789434099343601,0.8642558352363267,0.8466029550400527,0.026393586082163197,-0.17095921484405754,0.19345460419559124,False,False,False,0.8466029550400527
gamma_path_length,1.0,0.9010508482906395,0.9779521720528206,0.0,0.12433397443204185,-0.027636372027941603,False,False,False,0.9010508482906395
alpha_global_efficiency,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
theta_assortativity,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
theta_density,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
delta_assortativity,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
delta_global_efficiency,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
delta_density,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
theta_global_efficiency,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
alpha_density,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
theta_transitivity,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
delta_transitivity,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
alpha_assortativity,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
alpha_transitivity,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
beta_density,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
beta_global_efficiency,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
beta_transitivity,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
gamma_density,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
gamma_global_efficiency,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
gamma_transitivity,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
gamma_assortativity,1.0,1.0,1.0,0.0,0.0,0.0,False,False,False,1.0
